Date,Close
5/27/2011,9521.94
5/30/2011,9504.97
5/31/2011,9693.73
6/1/2011,9719.61
6/2/2011,9555.04
6/3/2011,9492.21
6/6/2011,9380.35
6/7/2011,9442.95
6/8/2011,9449.46
6/9/2011,9467.15
6/10/2011,9514.44
6/13/2011,9448.21
6/14/2011,9547.79
6/15/2011,9574.32
6/16/2011,9411.28
6/17/2011,9351.40
6/20/2011,9354.32
6/21/2011,9459.66
6/22/2011,9629.43
6/23/2011,9596.74
6/24/2011,9678.71
6/27/2011,9578.31
6/28/2011,9648.98
6/29/2011,9797.26
6/30/2011,9816.09
7/1/2011,9868.07
7/4/2011,9965.09
7/5/2011,9972.46
7/6/2011,10082.48
7/7/2011,10071.14
7/8/2011,10137.73
7/11/2011,10069.53
7/12/2011,9925.92
7/13/2011,9963.14
7/14/2011,9936.12
7/15/2011,9974.47
7/19/2011,9889.72
7/20/2011,10005.90
7/21/2011,10010.39
7/22/2011,10132.11
7/25/2011,10050.01
7/26/2011,10097.72
7/27/2011,10047.19
7/28/2011,9901.35
7/29/2011,9833.03
8/1/2011,9965.01
8/2/2011,9844.59
8/3/2011,9637.14
8/4/2011,9659.18
8/5/2011,9299.88
8/8/2011,9097.56
8/9/2011,8944.48
8/10/2011,9038.74
8/11/2011,8981.94
8/12/2011,8963.72
8/15/2011,9086.41
8/16/2011,9107.43
8/17/2011,9057.26
8/18/2011,8943.76
8/19/2011,8719.24
8/22/2011,8628.13
8/23/2011,8733.01
8/24/2011,8639.61
8/25/2011,8772.36
8/26/2011,8797.78
8/29/2011,8851.35
8/30/2011,8953.90
8/31/2011,8955.20
9/1/2011,9060.80
9/2/2011,8950.74
9/5/2011,8784.46
9/6/2011,8590.57
9/7/2011,8763.41
9/8/2011,8793.12
9/9/2011,8737.66
9/12/2011,8535.67
9/13/2011,8616.55
9/14/2011,8518.57
9/15/2011,8668.86
9/16/2011,8864.16
9/20/2011,8721.24
9/21/2011,8741.16
9/22/2011,8560.26
9/26/2011,8374.13
9/27/2011,8609.95
9/28/2011,8615.65
9/29/2011,8701.23
9/30/2011,8700.29
10/3/2011,8545.48
10/4/2011,8456.12
10/5/2011,8382.98
10/6/2011,8522.02
10/7/2011,8605.62
10/11/2011,8773.68
10/12/2011,8738.90
10/13/2011,8823.25
10/14/2011,8747.96
10/17/2011,8879.60
10/18/2011,8741.91
10/19/2011,8772.54
10/20/2011,8682.15
10/21/2011,8678.89
10/24/2011,8843.98
10/25/2011,8762.31
10/26/2011,8748.47
10/27/2011,8926.54
10/28/2011,9050.47
10/31/2011,8988.39
11/1/2011,8835.52
11/2/2011,8640.42
11/4/2011,8801.40
11/7/2011,8767.09
11/8/2011,8655.51
11/9/2011,8755.44
11/10/2011,8500.80
11/11/2011,8514.47
11/14/2011,8603.70
11/15/2011,8541.93
11/16/2011,8463.16
11/17/2011,8479.63
11/18/2011,8374.91
11/21/2011,8348.27
11/22/2011,8314.74
11/24/2011,8165.18
11/25/2011,8160.01
11/28/2011,8287.49
11/29/2011,8477.82
11/30/2011,8434.61
